Period,Year,Month,Item,Category,Archetype,Site,Region,Climate,Demand,Actual_Issue,Lost_Sales,Returns,Promo_Flag,Unit_Price
2022-11,2022,11,Brake Pads Set,Brakes,stable,Atlanta South,Southeast,hot,475,474,1,12,0,402.09
2022-12,2022,12,Brake Pads Set,Brakes,stable,Atlanta South,Southeast,hot,431,431,0,8,0,402.09
2023-01,2023,1,Brake Pads Set,Brakes,stable,Atlanta South,Southeast,hot,465,465,0,8,0,402.09
2023-02,2023,2,Brake Pads Set,Brakes,stable,Atlanta South,Southeast,hot,482,475,7,17,0,402.09
2023-03,2023,3,Brake Pads Set,Brakes,stable,Atlanta South,Southeast,hot,607,607,0,14,0,402.09
2023-04,2023,4,Brake Pads Set,Brakes,stable,Atlanta South,Southeast,hot,554,542,12,16,0,402.09
2023-05,2023,5,Brake Pads Set,Brakes,stable,Atlanta South,Southeast,hot,450,450,0,6,0,402.09
2023-06,2023,6,Brake Pads Set,Brakes,stable,Atlanta South,Southeast,hot,463,452,11,12,0,402.09
2023-07,2023,7,Brake Pads Set,Brakes,stable,Atlanta South,Southeast,hot,426,426,0,9,0,402.09
2023-08,2023,8,Brake Pads Set,Brakes,stable,Atlanta South,Southeast,hot,429,423,6,5,0,402.09
2023-09,2023,9,Brake Pads Set,Brakes,stable,Atlanta South,Southeast,hot,454,454,0,10,0,402.09
2023-10,2023,10,Brake Pads Set,Brakes,stable,Atlanta South,Southeast,hot,483,483,0,11,0,402.09
2023-11,2023,11,Brake Pads Set,Brakes,stable,Atlanta South,Southeast,hot,440,440,0,3,0,402.09
2023-12,2023,12,Brake Pads Set,Brakes,stable,Atlanta South,Southeast,hot,448,448,0,8,0,402.09
2024-01,2024,1,Brake Pads Set,Brakes,stable,Atlanta South,Southeast,hot,383,383,0,10,0,402.09
2024-02,2024,2,Brake Pads Set,Brakes,stable,Atlanta South,Southeast,hot,491,491,0,8,0,402.09
2024-03,2024,3,Brake Pads Set,Brakes,stable,Atlanta South,Southeast,hot,443,443,0,8,0,402.09
2024-04,2024,4,Brake Pads Set,Brakes,stable,Atlanta South,Southeast,hot,466,466,0,9,0,402.09
2024-05,2024,5,Brake Pads Set,Brakes,stable,Atlanta South,Southeast,hot,450,440,10,7,0,402.09
2024-06,2024,6,Brake Pads Set,Brakes,stable,Atlanta South,Southeast,hot,470,470,0,14,0,402.09
2024-07,2024,7,Brake Pads Set,Brakes,stable,Atlanta South,Southeast,hot,397,394,3,10,0,402.09
2024-08,2024,8,Brake Pads Set,Brakes,stable,Atlanta South,Southeast,hot,396,396,0,5,0,402.09
2024-09,2024,9,Brake Pads Set,Brakes,stable,Atlanta South,Southeast,hot,549,549,0,21,0,402.09
2024-10,2024,10,Brake Pads Set,Brakes,stable,Atlanta South,Southeast,hot,391,391,0,11,0,402.09
2024-11,2024,11,Brake Pads Set,Brakes,stable,Atlanta South,Southeast,hot,426,426,0,7,0,402.09
2024-12,2024,12,Brake Pads Set,Brakes,stable,Atlanta South,Southeast,hot,544,544,0,14,0,402.09
2025-01,2025,1,Brake Pads Set,Brakes,stable,Atlanta South,Southeast,hot,598,598,0,8,0,402.09
2025-02,2025,2,Brake Pads Set,Brakes,stable,Atlanta South,Southeast,hot,430,430,0,19,0,402.09
2021-01,2021,1,Brake Pads Set,Brakes,stable,Dallas Hub,South,hot,531,531,0,13,0,442.38
2021-02,2021,2,Brake Pads Set,Brakes,stable,Dallas Hub,South,hot,570,566,4,14,0,442.38
2021-03,2021,3,Brake Pads Set,Brakes,stable,Dallas Hub,South,hot,557,557,0,7,0,442.38
2021-04,2021,4,Brake Pads Set,Brakes,stable,Dallas Hub,South,hot,574,574,0,11,0,442.38
2021-05,2021,5,Brake Pads Set,Brakes,stable,Dallas Hub,South,hot,518,499,19,11,0,442.38
2021-06,2021,6,Brake Pads Set,Brakes,stable,Dallas Hub,South,hot,531,531,0,10,0,442.38
2021-07,2021,7,Brake Pads Set,Brakes,stable,Dallas Hub,South,hot,533,533,0,15,0,442.38
2021-08,2021,8,Brake Pads Set,Brakes,stable,Dallas Hub,South,hot,546,546,0,11,0,442.38
2021-09,2021,9,Brake Pads Set,Brakes,stable,Dallas Hub,South,hot,486,481,5,12,0,442.38
2021-10,2021,10,Brake Pads Set,Brakes,stable,Dallas Hub,South,hot,521,521,0,15,0,442.38
2021-11,2021,11,Brake Pads Set,Brakes,stable,Dallas Hub,South,hot,521,512,9,11,0,442.38
2021-12,2021,12,Brake Pads Set,Brakes,stable,Dallas Hub,South,hot,532,532,0,16,0,442.38
2022-01,2022,1,Brake Pads Set,Brakes,stable,Dallas Hub,South,hot,560,560,0,12,0,442.38
2022-02,2022,2,Brake Pads Set,Brakes,stable,Dallas Hub,South,hot,454,454,0,13,0,442.38
2022-03,2022,3,Brake Pads Set,Brakes,stable,Dallas Hub,South,hot,493,493,0,9,0,442.38
2022-04,2022,4,Brake Pads Set,Brakes,stable,Dallas Hub,South,hot,489,489,0,10,0,442.38
2022-05,2022,5,Brake Pads Set,Brakes,stable,Dallas Hub,South,hot,474,474,0,10,0,442.38
2022-06,2022,6,Brake Pads Set,Brakes,stable,Dallas Hub,South,hot,510,510,0,7,0,442.38
2022-07,2022,7,Brake Pads Set,Brakes,stable,Dallas Hub,South,hot,556,556,0,11,0,442.38
2022-08,2022,8,Brake Pads Set,Brakes,stable,Dallas Hub,South,hot,500,500,0,15,0,442.38
2022-09,2022,9,Brake Pads Set,Brakes,stable,Dallas Hub,South,hot,511,492,19,11,0,442.38
2022-10,2022,10,Brake Pads Set,Brakes,stable,Dallas Hub,South,hot,544,544,0,8,0,442.38
2022-11,2022,11,Brake Pads Set,Brakes,stable,Dallas Hub,South,hot,592,592,0,11,0,442.38
2022-12,2022,12,Brake Pads Set,Brakes,stable,Dallas Hub,South,hot,534,529,5,8,0,442.38
2023-01,2023,1,Brake Pads Set,Brakes,stable,Dallas Hub,South,hot,582,577,5,6,0,442.38
2023-02,2023,2,Brake Pads Set,Brakes,stable,Dallas Hub,South,hot,542,542,0,17,0,442.38
2023-03,2023,3,Brake Pads Set,Brakes,stable,Dallas Hub,South,hot,541,541,0,11,0,442.38
2023-04,2023,4,Brake Pads Set,Brakes,stable,Dallas Hub,South,hot,526,526,0,9,0,442.38
2023-05,2023,5,Brake Pads Set,Brakes,stable,Dallas Hub,South,hot,486,486,0,11,0,442.38
2023-06,2023,6,Brake Pads Set,Brakes,stable,Dallas Hub,South,hot,501,501,0,4,0,442.38
2023-07,2023,7,Brake Pads Set,Brakes,stable,Dallas Hub,South,hot,533,526,7,9,0,442.38
2023-08,2023,8,Brake Pads Set,Brakes,stable,Dallas Hub,South,hot,546,546,0,13,0,442.38
2023-09,2023,9,Brake Pads Set,Brakes,stable,Dallas Hub,South,hot,575,575,0,13,0,442.38
2023-10,2023,10,Brake Pads Set,Brakes,stable,Dallas Hub,South,hot,441,430,11,16,0,442.38
2023-11,2023,11,Brake Pads Set,Brakes,stable,Dallas Hub,South,hot,550,550,0,13,0,442.38
2023-12,2023,12,Brake Pads Set,Brakes,stable,Dallas Hub,South,hot,492,492,0,10,0,442.38
2024-01,2024,1,Brake Pads Set,Brakes,stable,Dallas Hub,South,hot,545,545,0,14,0,442.38
2024-02,2024,2,Brake Pads Set,Brakes,stable,Dallas Hub,South,hot,559,553,6,16,0,442.38
2024-03,2024,3,Brake Pads Set,Brakes,stable,Dallas Hub,South,hot,471,468,3,12,0,442.38
2024-04,2024,4,Brake Pads Set,Brakes,stable,Dallas Hub,South,hot,590,590,0,19,0,442.38
2024-05,2024,5,Brake Pads Set,Brakes,stable,Dallas Hub,South,hot,522,506,16,13,0,442.38
2024-06,2024,6,Brake Pads Set,Brakes,stable,Dallas Hub,South,hot,516,516,0,15,0,442.38
2024-07,2024,7,Brake Pads Set,Brakes,stable,Dallas Hub,South,hot,480,480,0,6,0,442.38
2024-08,2024,8,Brake Pads Set,Brakes,stable,Dallas Hub,South,hot,484,484,0,12,0,442.38
2024-09,2024,9,Brake Pads Set,Brakes,stable,Dallas Hub,South,hot,549,549,0,11,0,442.38
2024-10,2024,10,Brake Pads Set,Brakes,stable,Dallas Hub,South,hot,491,491,0,11,0,442.38
2024-11,2024,11,Brake Pads Set,Brakes,stable,Dallas Hub,South,hot,547,534,13,13,0,442.38
2024-12,2024,12,Brake Pads Set,Brakes,stable,Dallas Hub,South,hot,553,553,0,18,0,442.38
2025-01,2025,1,Brake Pads Set,Brakes,stable,Dallas Hub,South,hot,609,609,0,21,0,442.38
2025-02,2025,2,Brake Pads Set,Brakes,stable,Dallas Hub,South,hot,524,524,0,9,0,442.38
2021-01,2021,1,Brake Pads Set,Brakes,stable,Reno West,West,temperate,292,292,0,3,0,169.73
2021-02,2021,2,Brake Pads Set,Brakes,stable,Reno West,West,temperate,310,310,0,1,0,169.73
2021-03,2021,3,Brake Pads Set,Brakes,stable,Reno West,West,temperate,339,339,0,3,0,169.73
2021-04,2021,4,Brake Pads Set,Brakes,stable,Reno West,West,temperate,339,339,0,3,0,169.73
2021-05,2021,5,Brake Pads Set,Brakes,stable,Reno West,West,temperate,372,360,12,5,0,169.73
2021-06,2021,6,Brake Pads Set,Brakes,stable,Reno West,West,temperate,351,351,0,0,0,169.73
2021-07,2021,7,Brake Pads Set,Brakes,stable,Reno West,West,temperate,288,282,6,4,0,169.73
2021-08,2021,8,Brake Pads Set,Brakes,stable,Reno West,West,temperate,341,330,11,3,0,169.73
2021-09,2021,9,Brake Pads Set,Brakes,stable,Reno West,West,temperate,306,306,0,1,0,169.73
2021-10,2021,10,Brake Pads Set,Brakes,stable,Reno West,West,temperate,353,343,10,4,0,169.73
2021-11,2021,11,Brake Pads Set,Brakes,stable,Reno West,West,temperate,323,323,0,4,0,169.73
2021-12,2021,12,Brake Pads Set,Brakes,stable,Reno West,West,temperate,326,326,0,1,0,169.73
2022-01,2022,1,Brake Pads Set,Brakes,stable,Reno West,West,temperate,351,351,0,5,0,169.73
2022-02,2022,2,Brake Pads Set,Brakes,stable,Reno West,West,temperate,365,354,11,2,0,169.73
2022-03,2022,3,Brake Pads Set,Brakes,stable,Reno West,West,temperate,363,356,7,3,0,169.73
2022-04,2022,4,Brake Pads Set,Brakes,stable,Reno West,West,temperate,307,307,0,6,0,169.73
2022-05,2022,5,Brake Pads Set,Brakes,stable,Reno West,West,temperate,385,374,11,2,0,169.73
2022-06,2022,6,Brake Pads Set,Brakes,stable,Reno West,West,temperate,317,317,0,4,0,169.73
2022-07,2022,7,Brake Pads Set,Brakes,stable,Reno West,West,temperate,342,342,0,2,0,169.73
2022-08,2022,8,Brake Pads Set,Brakes,stable,Reno West,West,temperate,289,289,0,3,0,169.73
2022-09,2022,9,Brake Pads Set,Brakes,stable,Reno West,West,temperate,333,333,0,3,0,169.73
2022-10,2022,10,Brake Pads Set,Brakes,stable,Reno West,West,temperate,298,298,0,1,0,169.73
2022-11,2022,11,Brake Pads Set,Brakes,stable,Reno West,West,temperate,304,292,12,2,0,169.73
2022-12,2022,12,Brake Pads Set,Brakes,stable,Reno West,West,temperate,364,357,7,2,0,169.73
2023-01,2023,1,Brake Pads Set,Brakes,stable,Reno West,West,temperate,342,342,0,1,0,169.73
2023-02,2023,2,Brake Pads Set,Brakes,stable,Reno West,West,temperate,328,315,13,0,0,169.73
2023-03,2023,3,Brake Pads Set,Brakes,stable,Reno West,West,temperate,411,411,0,2,0,169.73
2023-04,2023,4,Brake Pads Set,Brakes,stable,Reno West,West,temperate,341,341,0,0,0,169.73
2023-05,2023,5,Brake Pads Set,Brakes,stable,Reno West,West,temperate,351,351,0,1,0,169.73
2023-06,2023,6,Brake Pads Set,Brakes,stable,Reno West,West,temperate,352,352,0,4,0,169.73
2023-07,2023,7,Brake Pads Set,Brakes,stable,Reno West,West,temperate,334,334,0,3,0,169.73
2023-08,2023,8,Brake Pads Set,Brakes,stable,Reno West,West,temperate,340,340,0,4,0,169.73
2023-09,2023,9,Brake Pads Set,Brakes,stable,Reno West,West,temperate,307,307,0,2,0,169.73
2023-10,2023,10,Brake Pads Set,Brakes,stable,Reno West,West,temperate,308,308,0,4,0,169.73
2023-11,2023,11,Brake Pads Set,Brakes,stable,Reno West,West,temperate,380,380,0,3,0,169.73
2023-12,2023,12,Brake Pads Set,Brakes,stable,Reno West,West,temperate,315,315,0,1,0,169.73
2024-01,2024,1,Brake Pads Set,Brakes,stable,Reno West,West,temperate,271,271,0,1,0,169.73
2024-02,2024,2,Brake Pads Set,Brakes,stable,Reno West,West,temperate,407,407,0,4,0,169.73
2024-03,2024,3,Brake Pads Set,Brakes,stable,Reno West,West,temperate,419,419,0,2,0,169.73
2024-04,2024,4,Brake Pads Set,Brakes,stable,Reno West,West,temperate,342,342,0,3,0,169.73
2024-05,2024,5,Brake Pads Set,Brakes,stable,Reno West,West,temperate,298,289,9,6,0,169.73
2024-06,2024,6,Brake Pads Set,Brakes,stable,Reno West,West,temperate,336,336,0,0,0,169.73
2024-07,2024,7,Brake Pads Set,Brakes,stable,Reno West,West,temperate,328,328,0,0,0,169.73
2024-08,2024,8,Brake Pads Set,Brakes,stable,Reno West,West,temperate,322,318,4,7,0,169.73
2024-09,2024,9,Brake Pads Set,Brakes,stable,Reno West,West,temperate,308,298,10,2,0,169.73
2024-10,2024,10,Brake Pads Set,Brakes,stable,Reno West,West,temperate,335,330,5,1,0,169.73
2024-11,2024,11,Brake Pads Set,Brakes,stable,Reno West,West,temperate,356,356,0,5,0,169.73
2024-12,2024,12,Brake Pads Set,Brakes,stable,Reno West,West,temperate,302,290,12,4,0,169.73
2025-01,2025,1,Brake Pads Set,Brakes,stable,Reno West,West,temperate,373,371,2,3,0,169.73
2025-02,2025,2,Brake Pads Set,Brakes,stable,Reno West,West,temperate,400,386,14,3,0,169.73
2021-01,2021,1,Brake Pads Set,Brakes,stable,Chicago North,Midwest,cold,513,513,0,7,0,322.6
2021-02,2021,2,Brake Pads Set,Brakes,stable,Chicago North,Midwest,cold,505,505,0,3,0,322.6
2021-03,2021,3,Brake Pads Set,Brakes,stable,Chicago North,Midwest,cold,592,587,5,5,0,322.6
2021-04,2021,4,Brake Pads Set,Brakes,stable,Chicago North,Midwest,cold,590,590,0,4,0,322.6
2021-05,2021,5,Brake Pads Set,Brakes,stable,Chicago North,Midwest,cold,492,487,5,3,0,322.6
2021-06,2021,6,Brake Pads Set,Brakes,stable,Chicago North,Midwest,cold,554,554,0,4,0,322.6
2021-07,2021,7,Brake Pads Set,Brakes,stable,Chicago North,Midwest,cold,589,589,0,3,0,322.6
2021-08,2021,8,Brake Pads Set,Brakes,stable,Chicago North,Midwest,cold,579,579,0,10,0,322.6
2021-09,2021,9,Brake Pads Set,Brakes,stable,Chicago North,Midwest,cold,567,567,0,6,0,322.6
2021-10,2021,10,Brake Pads Set,Brakes,stable,Chicago North,Midwest,cold,520,520,0,5,0,322.6
2021-11,2021,11,Brake Pads Set,Brakes,stable,Chicago North,Midwest,cold,515,515,0,4,0,322.6
2021-12,2021,12,Brake Pads Set,Brakes,stable,Chicago North,Midwest,cold,509,509,0,2,0,322.6
2022-01,2022,1,Brake Pads Set,Brakes,stable,Chicago North,Midwest,cold,561,561,0,8,0,322.6
2022-02,2022,2,Brake Pads Set,Brakes,stable,Chicago North,Midwest,cold,576,576,0,4,0,322.6
2022-03,2022,3,Brake Pads Set,Brakes,stable,Chicago North,Midwest,cold,626,626,0,2,0,322.6
2022-04,2022,4,Brake Pads Set,Brakes,stable,Chicago North,Midwest,cold,621,610,11,4,0,322.6
2022-05,2022,5,Brake Pads Set,Brakes,stable,Chicago North,Midwest,cold,595,595,0,6,0,322.6
2022-06,2022,6,Brake Pads Set,Brakes,stable,Chicago North,Midwest,cold,505,494,11,4,0,322.6
2022-07,2022,7,Brake Pads Set,Brakes,stable,Chicago North,Midwest,cold,532,532,0,6,0,322.6
2022-08,2022,8,Brake Pads Set,Brakes,stable,Chicago North,Midwest,cold,542,542,0,6,0,322.6
2022-09,2022,9,Brake Pads Set,Brakes,stable,Chicago North,Midwest,cold,514,511,3,2,0,322.6
2022-10,2022,10,Brake Pads Set,Brakes,stable,Chicago North,Midwest,cold,493,493,0,7,0,322.6
2022-11,2022,11,Brake Pads Set,Brakes,stable,Chicago North,Midwest,cold,565,565,0,4,0,322.6
2022-12,2022,12,Brake Pads Set,Brakes,stable,Chicago North,Midwest,cold,536,536,0,5,0,322.6
2023-01,2023,1,Brake Pads Set,Brakes,stable,Chicago North,Midwest,cold,519,519,0,0,0,322.6
2023-02,2023,2,Brake Pads Set,Brakes,stable,Chicago North,Midwest,cold,573,573,0,11,0,322.6
2023-03,2023,3,Brake Pads Set,Brakes,stable,Chicago North,Midwest,cold,582,582,0,3,0,322.6
2023-04,2023,4,Brake Pads Set,Brakes,stable,Chicago North,Midwest,cold,584,584,0,2,0,322.6
2023-05,2023,5,Brake Pads Set,Brakes,stable,Chicago North,Midwest,cold,582,582,0,4,0,322.6
2023-06,2023,6,Brake Pads Set,Brakes,stable,Chicago North,Midwest,cold,510,510,0,2,0,322.6
2023-07,2023,7,Brake Pads Set,Brakes,stable,Chicago North,Midwest,cold,549,549,0,2,0,322.6
2023-08,2023,8,Brake Pads Set,Brakes,stable,Chicago North,Midwest,cold,595,589,6,5,0,322.6
2023-09,2023,9,Brake Pads Set,Brakes,stable,Chicago North,Midwest,cold,472,472,0,3,0,322.6
2023-10,2023,10,Brake Pads Set,Brakes,stable,Chicago North,Midwest,cold,426,426,0,6,0,322.6
2023-11,2023,11,Brake Pads Set,Brakes,stable,Chicago North,Midwest,cold,467,467,0,3,0,322.6
2023-12,2023,12,Brake Pads Set,Brakes,stable,Chicago North,Midwest,cold,560,560,0,6,0,322.6
2024-01,2024,1,Brake Pads Set,Brakes,stable,Chicago North,Midwest,cold,547,547,0,4,0,322.6
2024-02,2024,2,Brake Pads Set,Brakes,stable,Chicago North,Midwest,cold,582,582,0,5,0,322.6
2024-03,2024,3,Brake Pads Set,Brakes,stable,Chicago North,Midwest,cold,623,623,0,5,0,322.6
2024-04,2024,4,Brake Pads Set,Brakes,stable,Chicago North,Midwest,cold,457,457,0,3,0,322.6
2024-05,2024,5,Brake Pads Set,Brakes,stable,Chicago North,Midwest,cold,587,578,9,8,0,322.6
2024-06,2024,6,Brake Pads Set,Brakes,stable,Chicago North,Midwest,cold,628,618,10,4,0,322.6
2024-07,2024,7,Brake Pads Set,Brakes,stable,Chicago North,Midwest,cold,497,497,0,2,0,322.6
2024-08,2024,8,Brake Pads Set,Brakes,stable,Chicago North,Midwest,cold,516,516,0,5,0,322.6
2024-09,2024,9,Brake Pads Set,Brakes,stable,Chicago North,Midwest,cold,516,516,0,6,0,322.6
2024-10,2024,10,Brake Pads Set,Brakes,stable,Chicago North,Midwest,cold,480,476,4,1,0,322.6
2024-11,2024,11,Brake Pads Set,Brakes,stable,Chicago North,Midwest,cold,539,539,0,4,0,322.6
2024-12,2024,12,Brake Pads Set,Brakes,stable,Chicago North,Midwest,cold,624,624,0,8,0,322.6
2025-01,2025,1,Brake Pads Set,Brakes,stable,Chicago North,Midwest,cold,658,658,0,7,0,322.6
2025-02,2025,2,Brake Pads Set,Brakes,stable,Chicago North,Midwest,cold,545,526,19,10,0,322.6
2021-01,2021,1,Brake Pads Set,Brakes,stable,Phoenix West,Southwest,hot,384,384,0,8,0,535.04
2021-02,2021,2,Brake Pads Set,Brakes,stable,Phoenix West,Southwest,hot,437,437,0,7,0,535.04
2021-03,2021,3,Brake Pads Set,Brakes,stable,Phoenix West,Southwest,hot,463,463,0,7,0,535.04
